title,description,publishTime,duration_seconds,viewCount,likeCount,commentCount,like_to_view_ratio
The Real Way Dinosaurs Went Extinct,SCHOOLS HAVE BEEN LYING TO YOU ALL YOUR LIFE! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2018-06-28 21:12:01+00:00,351,24150678,665682,44254.0,0.02756369821170238
I Spent 50 Hours In Solitary Confinement,i borderline went crazy about 30 hours in... New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2020-05-30 20:10:08+00:00,952,158424466,3109009,106104.0,0.019624550920058017
Surviving 24 Hours Straight In The Bermuda Triangle,THIS IS ONE OF THE CRAZIEST THINGS I'VE EVER DONE! DONATE TO TEAM TREES: https://teamtrees.org/ New Merch ...,2019-11-09 21:00:55+00:00,701,109909726,2376880,90444.0,0.021625747661312523
"I Put 1,000,000 Christmas Lights On A House (World Record)",Watch until the end to see how insane the houses look Get Honey for FREE today ▸ https://joinhoney.com/mrbeast Honey finds ...,2020-12-23 21:00:06+00:00,748,54785723,2158821,111013.0,0.039404809899104554
I Opened A Restaurant That Pays You To Eat At It,Download our MrBeast Burger App and order food NOW! IOS - https://apps.apple.com/us/app/mrbeast-burger/id1543431762 ...,2020-12-19 22:00:03+00:00,639,93929098,3525848,726861.0,0.03753733480970934
I Cleaned The World’s Dirtiest Beach #TeamSeas,Donated = 1 Pound Of Trash Out Of The Ocean - https://teamseas.org/ HELP US REMOVE 30000000 POUNDS OF TRASH FROM ...,2021-10-29 19:59:43+00:00,295,52448898,4132687,177576.0,0.07879454397688203
"Offering People $100,000 To Quit Their Job",Download Finger On The App 2 NOW! - https://beastgames.com/ New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE ...,2021-03-13 21:00:02+00:00,677,77042095,2576744,118980.0,0.03344592329686777
"Last To Leave VR Wins $20,000",YOU WON'T BELIEVE HOW LONG THEY LASTED!!! New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR DOG ...,2019-06-08 20:00:01+00:00,858,82682475,1907558,90163.0,0.023070886545183848
"I Gave Him One Hour To Spend $100,000!",THEY HAD ONLY ONE HOUR TO SPEND $100000 IN NEW YORK Download Tik Tok Here ...,2019-01-01 21:05:01+00:00,830,63835088,1321472,70116.0,0.02070134218347126
Surviving 24 Hours Straight In A Desert,WE WENT TO A DESERT AND SPENT 24 HOURS IN IT New Merch - https://shopmrbeast.com/ SUBSCRIBE OR I TAKE YOUR ...,2019-03-16 20:05:00+00:00,844,87553418,1916757,87816.0,0.02189242914537043
